Food Item, Dining Hall, Meal, Allergens, Dietary Restrictions, Date, Calories, Serving Size, Total Fat, Total Carbohydrates, Saturated Fat, Dietary Fiber , Trans Fat, Total Sugars, Cholesterol, Added Sugars, Sodium, Protein, Calcium, Iron, Vitamin D, Potassium
Sauteed Spinach With Garlic,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,39,4 OZ,1.1g,5.8g,0.1g,2.6g,0g,0.5g,0mg,0g,139.3mg,3.6g,121.5mg,3.2mg,0mcg,653.4mg
Fried Pork And Kimchi Dumplings,South,Lunch,"Eggs, Fish, Wheat, Soybeans, Gluten, Sesame",['Less Sodium'],2023-01-20,199,3 EACH,11.9g,17.9g,2.3g,1.5g,0g,1.5g,11.2mg,0.7g,336.5mg,5.2g,29.9mg,0.4mg,0mcg,89.7mg
Honey Glazed Carrots,South,Lunch,Milk,"['Gluten Friendly', 'Less Sodium', 'Vegetarian']",2023-01-20,75,4 OZ,1.1g,16.6g,0.6g,2.8g,0g,12.3g,2.3mg,4.8g,67.9mg,1.2g,31.3mg,0.6mg,0mcg,372mg
Orange Chicken Stir Fry,South,Lunch,Soybeans,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-20,144,6 OZ,3.2g,10.5g,0.3g,1.5g,0g,6.7g,44.2mg,1.3g,151.8mg,19.5g,27.2mg,1.1mg,0mcg,168.1mg
White Rice,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,91,3 OZ,0g,20.4g,0g,0g,0g,0g,0mg,0g,2.4mg,2.1g,19.5mg,1.1mg,0mcg,44mg
Marinara Sauce,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,90,4 OZL,4g,12g,0g,2g,g,10g,0mg,0g,479mg,2g,40mg,1.4mg,0mcg,mg
Roasted Curried Cauliflower,South,Lunch,,"['Gluten Friendly', 'Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,59,4 OZ,3.1g,7g,0.5g,2.9g,0g,2.6g,0mg,0g,40.8mg,2.7g,32.2mg,0.6mg,0mcg,410mg
Chocolate Brownies,South,Lunch,"Milk, Eggs, Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian']",2023-01-20,203,1/96 SHEET,8.8g,28.4g,2g,1g,0g,21.3g,14.2mg,19.2g,122.1mg,1.5g,12.4mg,1.7mg,0.1mcg,76.3mg
Oatmeal Raisin Cookies,South,Lunch,"Wheat, Soybeans, The UConn bakery uses coconut (a tree nut).","['Less Sodium', 'Vegetarian', 'Vegan']",2023-01-20,140,1 EACH,4.5g,22g,1.5g,0g,0g,13g,0mg,8g,85mg,2g,9mg,0.7mg,0mcg,82mg
Moroccan Salmon,South,Dinner,Fish,"['Gluten Friendly', 'Less Sodium', 'Smart Check']",2023-01-20,204,1 EACH,9.1g,5.7g,1.3g,1.2g,0g,2.4g,45.2mg,0g,311.2mg,23.1g,27mg,0.9mg,0mcg,206.1mg
